1N-Z,N,Z,A,EL,O,Mass Excess,Mass Excess Error,Mass Excess Experimental,Binding Energy/A,Binding Energy/A Error,Binding Energy/A Experimental,Beta Type,Beta-Decay Energy,Beta-Decay Energy Error,Beta-Decay Energy Experimental,Atomic Mass,Atomic Mass Error,Atomic Mass Experimental
21,83,62,145,Sm,,-80651.318,1.578,True,8293.013,0.011000000000000001,True,B-,-2659.81,2.7230000000000003,True,144913417.244,1.694,True
19,82,63,145,Eu,,-77991.507,3.1060000000000003,True,8269.274,0.021,True,B-,-5065.187,19.953,True,144916272.66799998,3.3339999999999996,True
17,81,64,145,Gd,,-72926.32,19.709,True,8228.946,0.136,True,B-,-6537.909000000001,108.066,True,144921710.37,21.158,True
15,80,65,145,Tb,,-66388.411,109.17399999999999,True,8178.460999999999,0.753,True,B-,-8145.812,109.369,True,144928729.105,117.20299999999999,True
13,79,66,145,Dy,x,-58242.599,6.52,True,8116.888000000001,0.045,True,B-,-9122.493,9.902000000000001,True,144937473.994,7.0,True
11,78,67,145,Ho,x,-49120.105,7.452000000000001,True,8048.578,0.051,True,B-,-9880.0,200.0,False,144947267.394,8.0,True
9,77,68,145,Er,x,-39240.0,200.0,False,7975.0,1.0,False,B-,-11657.0,280.0,False,144957874.0,215.0,False
7,76,69,145,Tm,-p,-27583.0,196.0,False,7889.0,1.0,False,B-,,,True,144970389.0,210.0,False
38,92,54,146,Xe,x,-47954.943,24.219,True,8110.415,0.166,True,B-,7355.429,24.391,True,145948518.248,26.0,True
36,91,55,146,Cs,x,-55310.372,2.8930000000000002,True,8155.436,0.02,True,B-,9636.714,21.063000000000002,True,145940621.87,3.1060000000000003,True
34,90,56,146,Ba,,-64947.085999999996,20.863000000000003,True,8216.082,0.14300000000000002,True,B-,4103.197,33.503,True,145930276.431,22.397,True
32,89,57,146,La,,-69050.283,33.616,True,8238.828000000001,0.23,True,B-,6585.107,34.455999999999996,True,145925871.468,36.088,True
30,88,58,146,Ce,,-75635.38900000001,16.305999999999997,True,8278.573,0.11199999999999999,True,B-,1045.616,32.519,True,145918802.065,17.504,True
28,87,59,146,Pr,,-76681.006,34.816,True,8280.376,0.23800000000000002,True,B-,4244.861,34.83,True,145917679.549,37.376,True
26,86,60,146,Nd,,-80925.867,1.386,True,8304.091999999999,0.009000000000000001,True,B-,-1471.558,4.119,True,145913122.503,1.4880000000000002,True
24,85,61,146,Pm,+,-79454.30900000001,4.308,True,8288.654,0.03,True,B-,1542.0,3.0,True,145914702.286,4.624,True
22,84,62,146,Sm,,-80996.30900000001,3.092,True,8293.857,0.021,True,B-,-3878.768,5.869,True,145913046.881,3.319,True
20,83,63,146,Eu,,-77117.541,6.026,True,8261.931999999999,0.040999999999999995,True,B-,-1031.758,7.0760000000000005,True,145917210.909,6.468,True
18,82,64,146,Gd,,-76085.783,4.1080000000000005,True,8249.506,0.027999999999999997,True,B-,-8322.173,44.748999999999995,True,145918318.54799998,4.409,True
16,81,65,146,Tb,,-67763.61,44.861999999999995,True,8187.146,0.307,True,B-,-5208.691,45.16,True,145927252.768,48.161,True
14,80,66,146,Dy,,-62554.918,6.695,True,8146.111999999999,0.046,True,B-,-11316.698999999999,9.392000000000001,True,145932844.52899998,7.187,True
12,79,67,146,Ho,,-51238.219000000005,6.587000000000001,True,8063.241999999999,0.045,True,B-,-6916.206,9.399,True,145944993.506,7.071000000000001,True
10,78,68,146,Er,,-44322.012,6.705,True,8010.512,0.046,True,B-,-13267.0,200.0,False,145952418.359,7.197,True
8,77,69,146,Tm,-p,-31055.0,200.0,False,7914.0,1.0,False,B-,,,True,145966661.0,215.0,False
39,93,54,147,Xe,x,-42360.0,200.0,False,8072.0,1.0,False,B-,9560.0,200.0,False,146954525.0,215.0,False
37,92,55,147,Cs,x,-51920.064000000006,8.383,True,8131.8,0.057,True,B-,8343.965,21.454,True,146944261.515,9.0,True
35,91,56,147,Ba,x,-60264.029,19.748,True,8183.24,0.134,True,B-,6414.361,22.465999999999998,True,146935303.9,21.2,True
33,90,57,147,La,x,-66678.39,10.712,True,8221.553,0.073,True,B-,5335.501,13.725,True,146928417.8,11.5,True
31,89,58,147,Ce,,-72013.891,8.58,True,8252.527,0.057999999999999996,True,B-,3430.176,15.533,True,146922689.903,9.211,True
29,88,59,147,Pr,,-75444.067,15.857000000000001,True,8270.539,0.10800000000000001,True,B-,2702.6809999999996,15.86,True,146919007.458,17.023,True
27,87,60,147,Nd,,-78146.74799999999,1.3880000000000001,True,8283.603000000001,0.009000000000000001,True,B-,895.512,0.48200000000000004,True,146916106.01,1.49,True
25,86,61,147,Pm,,-79042.26,1.399,True,8284.372,0.01,True,B-,224.09400000000002,0.293,True,146915144.63799998,1.501,True
23,85,62,147,Sm,,-79266.354,1.3719999999999999,True,8280.575,0.009000000000000001,True,B-,-1721.598,2.281,True,146914904.064,1.473,True
21,84,63,147,Eu,,-77544.756,2.63,True,8263.541,0.018000000000000002,True,B-,-2187.811,2.524,True,146916752.276,2.823,True
19,83,64,147,Gd,,-75356.945,1.965,True,8243.336,0.013000000000000001,True,B-,-4614.28,8.147,True,146919100.98700002,2.109,True
17,82,65,147,Tb,,-70742.665,8.1,True,8206.624,0.055,True,B-,-6546.628000000001,11.997,True,146924054.62,8.695,True
15,81,66,147,Dy,x,-64196.038,8.849,True,8156.767,0.06,True,B-,-8438.945,10.164,True,146931082.715,9.5,True
13,80,67,147,Ho,,-55757.092000000004,5.001,True,8094.036999999999,0.034,True,B-,-9149.286,38.516999999999996,True,146940142.295,5.367999999999999,True
11,79,68,147,Er,x,-46607.807,38.191,True,8026.475,0.26,True,B-,-10633.406,38.799,True,146949964.458,41.0,True
9,78,69,147,Tm,,-35974.4,6.8389999999999995,True,7948.816999999999,0.047,True,B-,,,True,146961379.89,7.341,True
40,94,54,148,Xe,x,-38600.0,300.0,False,8047.0,2.0,False,B-,8311.0,300.0,False,147958561.0,322.0,False
38,93,55,148,Cs,x,-46910.942,13.040999999999999,True,8097.545999999999,0.08800000000000001,True,B-,10682.793,64.413,True,147949639.02899998,14.0,True
36,92,56,148,Ba,+,-57593.735,63.07899999999999,True,8164.441,0.426,True,B-,5115.0,60.0,True,147938170.57799998,67.718,True
34,91,57,148,La,x,-62708.735,19.468,True,8193.716,0.132,True,B-,7689.672,22.456999999999997,True,147932679.4,20.9,True
32,90,58,148,Ce,,-70398.408,11.195,True,8240.386999999999,0.076,True,B-,2137.016,12.567,True,147924424.196,12.017999999999999,True
30,89,59,148,Pr,,-72535.424,15.043,True,8249.54,0.102,True,B-,4872.572,15.09,True,147922130.015,16.148,True
28,88,60,148,Nd,,-77407.996,2.127,True,8277.177,0.013999999999999999,True,B-,-542.28,5.874,True,147916899.093,2.283,True
26,87,61,148,Pm,+p,-76865.716,5.723,True,8268.226,0.039,True,B-,2470.548,5.642,True,147917481.255,6.143,True
24,86,62,148,Sm,,-79336.26400000001,1.367,True,8279.633,0.009000000000000001,True,B-,-3036.933,10.019,True,147914829.012,1.4669999999999999,True
22,85,63,148,Eu,,-76299.33099999999,10.013,True,8253.827,0.068,True,B-,-30.003,10.019,True,147918089.294,10.748,True
20,84,64,148,Gd,,-76269.329,1.554,True,8248.338,0.011000000000000001,True,B-,-5732.246,12.529000000000002,True,147918121.503,1.6680000000000001,True
18,83,65,148,Tb,,-70537.082,12.464,True,8204.321,0.084,True,B-,-2677.532,9.596,True,147924275.32299998,13.38,True
16,82,66,148,Dy,,-67859.55,8.724,True,8180.943,0.059000000000000004,True,B-,-9868.393,84.287,True,147927149.772,9.366,True
14,81,67,148,Ho,x,-57991.157999999996,83.834,True,8108.979,0.5660000000000001,True,B-,-6512.169,84.458,True,147937743.928,90.0,True
12,80,68,148,Er,x,-51478.989,10.245999999999999,True,8059.691999999999,0.069,True,B-,-12713.962,14.491,True,147944735.02899998,11.0,True
10,79,69,148,Tm,x,-38765.027,10.245999999999999,True,7968.5,0.069,True,B-,-8435.0,400.0,False,147958384.02899998,11.0,True
8,78,70,148,Yb,x,-30330.0,400.0,False,7906.0,3.0,False,B-,,,True,147967439.0,429.0,False
39,94,55,149,Cs,x,-43250.0,400.0,False,8073.0,3.0,False,B-,9870.0,593.0,False,148953569.0,429.0,False
37,93,56,149,Ba,x,-53120.309,437.80199999999996,True,8133.793000000001,2.938,True,B-,7099.605,481.431,True,148942973.0,470.0,True
35,92,57,149,La,+,-60219.913,200.262,True,8176.191,1.344,True,B-,6450.0,200.0,True,148935351.26,214.99,True
33,91,58,149,Ce,x,-66669.913,10.245999999999999,True,8214.229,0.069,True,B-,4369.452,14.23,True,148928426.9,11.0,True
31,90,59,149,Pr,x,-71039.366,9.874,True,8238.303,0.066,True,B-,3336.1,10.101,True,148923736.1,10.6,True
29,89,60,149,Nd,-n,-74375.466,2.128,True,8255.442,0.013999999999999999,True,B-,1688.79,2.455,True,148920154.648,2.2840000000000003,True
27,88,61,149,Pm,,-76064.256,2.267,True,8261.526,0.015,True,B-,1071.481,1.875,True,148918341.658,2.434,True
25,87,62,149,Sm,,-77135.73700000001,1.311,True,8263.466,0.009000000000000001,True,B-,-694.625,3.7880000000000003,True,148917191.375,1.4069999999999998,True
23,86,63,149,Eu,,-76441.11200000001,3.951,True,8253.554,0.027000000000000003,True,B-,-1314.101,4.136,True,148917937.086,4.2410000000000005,True
21,85,64,149,Gd,,-75127.011,3.36,True,8239.484,0.023,True,B-,-3638.343,4.3389999999999995,True,148919347.831,3.6069999999999998,True
19,84,65,149,Tb,,-71488.66900000001,3.667,True,8209.815,0.025,True,B-,-3792.76,9.162,True,148923253.753,3.9360000000000004,True
17,83,66,149,Dy,,-67695.909,9.221,True,8179.109,0.062,True,B-,-6049.33,12.802999999999999,True,148927325.44799998,9.898,True
15,82,67,149,Ho,,-61646.578,11.99,True,8133.259,0.08,True,B-,-7904.963000000001,30.408,True,148933819.67200002,12.870999999999999,True
13,81,68,149,Er,x,-53741.615,27.945,True,8074.955,0.188,True,B-,-9859.0,198.0,False,148942306.0,30.0,True
11,80,69,149,Tm,x,-43883.0,196.0,False,8004.0,1.0,False,B-,-10684.0,358.0,False,148952890.0,210.0,False
9,79,70,149,Yb,x,-33198.0,300.0,False,7927.0,2.0,False,B-,,,True,148964360.0,322.0,False
40,95,55,150,Cs,x,-38170.0,400.0,False,8039.0,3.0,False,B-,11730.0,500.0,False,149959023.0,429.0,False
38,94,56,150,Ba,x,-49900.0,300.0,False,8112.0,2.0,False,B-,6230.0,529.0,False,149946430.0,322.0,False
36,93,57,150,La,x,-56129.96599999999,435.473,True,8148.225,2.903,True,B-,8716.888,435.631,True,149939742.0,467.5,True
34,92,58,150,Ce,,-64846.85400000001,11.697000000000001,True,8201.122,0.078,True,B-,3453.625,14.290999999999999,True,149930384.035,12.556,True
32,91,59,150,Pr,,-68300.479,9.015,True,8218.931,0.06,True,B-,5379.276,9.085,True,149926676.415,9.677999999999999,True
30,90,60,150,Nd,,-73679.755,1.2890000000000001,True,8249.577,0.009000000000000001,True,B-,-82.616,20.000999999999998,True,149920901.525,1.3840000000000001,True
28,89,61,150,Pm,+,-73597.13900000001,20.041,True,8243.81,0.134,True,B-,3454.0,20.0,True,149920990.217,21.514,True
26,88,62,150,Sm,,-77051.13900000001,1.274,True,8261.621,0.009000000000000001,True,B-,-2258.905,6.181,True,149917282.195,1.368,True
24,87,63,150,Eu,,-74792.234,6.252999999999999,True,8241.346,0.042,True,B-,971.7,3.543,True,149919707.229,6.712000000000001,True
22,86,64,150,Gd,,-75763.93400000001,6.0760000000000005,True,8242.609,0.040999999999999995,True,B-,-4658.213,8.379,True,149918664.066,6.523,True
20,85,65,150,Tb,,-71105.72099999999,7.3839999999999995,True,8206.338,0.049,True,B-,-1796.122,8.389,True,149923664.864,7.9270000000000005,True
18,84,66,150,Dy,,-69309.6,4.348,True,8189.149,0.028999999999999998,True,B-,-7363.719,14.468,True,149925593.08,4.667,True
16,83,67,150,Ho,,-61945.880999999994,14.168,True,8134.842,0.094,True,B-,-4114.568,13.591,True,149933498.35799998,15.21,True
14,82,68,150,Er,,-57831.312999999995,17.195,True,8102.195,0.115,True,B-,-11340.0,196.0,False,149937915.528,18.459,True
12,81,69,150,Tm,x,-46491.0,196.0,False,8021.0,1.0,False,B-,-7852.0,358.0,False,149950090.0,210.0,False
10,80,70,150,Yb,x,-38638.0,300.0,False,7964.0,2.0,False,B-,-13998.0,424.0,False,149958520.0,322.0,False
8,79,71,150,Lu,-p,-24640.0,300.0,False,7865.0,2.0,False,B-,,,True,149973548.0,322.0,False
