N,Z,A,elt,S(2n),S(2n) Error,S(2n) Experimental,S(2p),S(2p) Error,S(2p) Experimental,Q(a),Q(a) Error,Q(a) Experimental,Q(2B-),Q(2B-) Error,Q(2B-) Experimental,Q(ep),Q(ep) Error,Q(ep) Experimental,Q(B- n),Q(B- n) Error,Q(B- n) Experimental,S(n),S(n) Error,S(n) Experimental,S(p),S(p) Error,S(p) Experimental,Q(4B-),Q(4B-) Error,Q(4B-) Experimental,"Q(d,a)","Q(d,a) Error","Q(d,a) Experimental","Q(p,a)","Q(p,a) Error","Q(p,a) Experimental","Q(n,a)","Q(n,a) Error","Q(n,a) Experimental"
84,49,133,In,5581.0,196.0,False,31662.0,537.0,False,-7909.0,445.0,False,21460.0,196.0,False,-30963.0,537.0,False,11011.0,196.0,False,3124.0,205.0,False,14489.0,277.0,False,28394.0,196.0,False,8466.0,221.0,False,8518.0,197.0,False,-6120.0,537.0,False
83,50,133,Sn,9751.94,4.09,True,30232.86,102.48,True,-10240.75,16.87,True,12063.24,2.81,True,-27899.0,196.0,False,690.07,3.12,True,2398.65,2.74,True,15751.31,60.06,True,16769.69,3.06,True,7861.96,3.3,True,3873.38,38.09,True,-4109.89,22.44,True
82,51,133,Sb,13084.74,3.76,True,25476.41,4.13,True,-8510.7,4.13,True,6934.76,7.15,True,-23800.93,60.11,True,-1806.63,4.68,True,7359.55,3.98,True,9665.93,3.7,True,9147.43,3.13,True,9051.87,4.78,True,6072.76,3.65,True,-3393.89,38.17,True
81,52,133,Te,13868.74,2.07,True,20250.49,4.17,True,-4771.13,17.4,True,4706.45,3.17,True,-13679.55,2.86,True,-5304.95,4.56,True,5820.25,4.05,True,10590.82,3.22,True,4616.49,2.29,True,9755.09,2.93,True,4212.61,14.36,True,2841.49,2.79,True
80,53,133,I,14558.18,6.46,True,18454.8,6.76,True,-3653.87,22.18,True,2212.67,6.43,True,-13511.96,6.88,True,-4650.62,6.43,True,8226.09,7.61,True,7959.05,7.31,True,-363.88,28.67,True,10063.56,6.43,True,6358.74,6.43,True,2073.82,15.6,True
79,54,133,Xe,15372.65,2.4,True,17010.5,2.4,True,-3063.68,2.55,True,-89.96,2.6,True,-9744.36,4.23,True,-8562.21,2.61,True,6435.93,2.4,True,9229.05,4.72,True,-5225.36,16.53,True,10509.95,2.48,True,4156.62,3.97,True,5355.78,2.4,True
78,55,133,Cs,16154.78,4.97,True,15206.16,0.6,True,-1988.72,3.17,True,-2576.55,27.94,True,-9656.41,4.07,True,-7707.23,1.05,True,8989.57,1.04,True,6080.94,0.01,True,-10133.35,12.5,True,11053.43,0.01,True,6673.59,0.01,True,4511.61,3.17,True
77,56,133,Ba,17012.52,2.69,True,13718.0,0.99,True,-1282.47,0.99,True,-5135.4,16.38,True,-5563.62,0.99,True,-11901.28,36.35,True,7189.91,0.36,True,7689.9,1.43,True,-15221.24,46.59,True,11215.98,5.06,True,4210.19,8.42,True,7973.25,0.99,True
76,57,133,La,17867.76,39.52,True,12013.54,28.38,True,-420.05,28.31,True,-7556.8,30.61,True,-5630.67,27.96,True,-11094.8,34.62,True,9842.05,45.86,True,4348.34,27.96,True,-20086.74,57.54,True,11900.15,28.06,True,6631.22,28.06,True,7051.76,29.17,True
75,58,133,Ce,18852.41,36.65,True,10312.42,16.55,True,220.07,19.48,True,-10085.84,49.36,True,-1272.17,16.39,True,-15262.08,33.19,True,8018.64,26.18,True,5983.54,39.87,True,-25187.0,299.0,False,12061.85,32.38,True,4073.21,30.67,True,10489.73,16.55,True
74,59,133,Pr,19779.56,48.63,True,8746.27,30.61,True,962.08,24.74,True,-12529.93,51.83,True,-1502.9,38.45,True,-14583.09,27.24,True,10781.44,31.46,True,2755.66,23.96,True,-30702.0,298.0,False,12481.67,35.1,True,6349.38,30.61,True,9336.19,28.8,True
73,60,133,Nd,20706.97,54.1,True,7201.87,56.97,True,1530.21,54.31,True,-15101.0,302.0,False,2849.55,50.86,True,-18776.0,156.0,False,8977.88,52.49,True,4393.89,54.8,True,-36473.0,502.0,False,12679.09,66.16,True,3707.14,79.37,True,12736.93,54.31,True
72,61,133,Pm,21890.0,206.0,False,5684.93,68.84,True,1941.0,58.47,True,-18172.0,302.0,False,2530.84,58.0,True,-18400.0,302.0,False,11851.0,157.0,False,1270.81,55.82,True,,,True,13071.19,57.34,True,6052.64,57.54,True,11414.21,81.62,True
71,62,133,Sm,23241.0,499.0,False,4041.0,299.0,False,2659.0,360.0,False,-21371.0,582.0,False,6906.0,299.0,False,-23102.0,499.0,False,10223.0,422.0,False,2892.0,333.0,False,,,True,13140.0,359.0,False,3029.0,357.0,False,15012.0,299.0,False
70,63,133,Eu,24109.0,499.0,False,2154.0,359.0,False,3220.0,422.0,False,,,True,7103.0,333.0,False,,,True,13107.0,499.0,False,-554.0,422.0,False,,,True,13608.0,499.0,False,5134.0,499.0,False,13806.0,357.0,False
69,64,133,Gd,,,True,305.0,641.0,False,3715.0,707.0,False,,,True,11931.0,582.0,False,,,True,,,True,948.0,640.0,False,,,True,14121.0,641.0,False,2687.0,708.0,False,17293.0,641.0,False
86,48,134,Cd,4799.0,445.0,False,,,True,,,True,27514.0,400.0,False,,,True,10473.0,445.0,False,3071.0,499.0,False,,,True,43614.0,400.0,False,5581.0,640.0,False,6325.0,640.0,False,,,True
85,49,134,In,5392.0,304.0,False,32449.0,582.0,False,-8388.0,582.0,False,22360.0,298.0,False,,,True,11142.0,298.0,False,2268.0,357.0,False,15030.0,422.0,False,32383.0,298.0,False,9314.0,357.0,False,8422.0,315.0,False,-5634.0,582.0,False
84,50,134,Sn,6029.84,3.73,True,30748.0,196.0,False,-7741.07,22.58,True,16099.99,4.19,True,-29803.0,298.0,False,4418.44,4.45,True,3631.19,3.7,True,16259.0,196.0,False,21692.07,3.17,True,6688.6,60.12,True,6455.34,4.16,True,-5568.38,102.51,True
83,51,134,Sb,10527.9,3.0,True,26186.94,60.06,True,-6562.25,38.08,True,10022.89,5.15,True,-23846.0,196.0,False,845.26,2.68,True,3168.36,3.56,True,10435.63,2.56,True,12870.61,1.71,True,13236.81,2.61,True,8108.08,4.0,True,-349.11,3.19,True
82,52,134,Te,13488.19,4.44,True,20565.14,3.38,True,-4826.45,3.32,True,5592.08,2.75,True,-18948.83,3.34,True,-4746.8,6.99,True,7667.94,3.44,True,10899.21,4.16,True,6416.11,2.76,True,7812.34,3.69,True,4311.71,3.45,True,377.23,4.54,True
81,53,134,I,14482.57,6.33,True,18986.1,5.45,True,-4182.67,15.02,True,2847.73,4.86,True,-12408.9,5.78,True,-4471.17,5.42,True,6256.49,8.06,True,8395.28,5.28,True,1175.22,20.51,True,11855.56,5.98,True,6031.64,4.86,True,3584.37,5.28,True
80,54,134,Xe,14989.49,0.01,True,17515.58,3.49,True,-3197.79,0.01,True,824.03,0.3,True,-12477.67,2.07,True,-8126.21,0.01,True,8553.57,2.4,True,9556.53,6.43,True,-3292.93,20.39,True,8288.47,4.07,True,4180.94,0.6,True,2731.59,0.06,True
79,55,134,Cs,15881.11,1.04,True,15765.61,4.07,True,-2379.93,3.17,True,-1672.5,19.93,True,-8321.86,6.43,True,-7408.86,0.99,True,6891.54,0.01,True,6536.55,2.4,True,-8363.16,20.32,True,13098.61,0.02,True,6386.46,0.02,True,6197.96,0.6,True
78,56,134,Ba,16657.47,1.1,True,14248.83,0.3,True,-1494.31,0.3,True,-4116.96,20.39,True,-8595.25,2.42,True,-11526.79,27.95,True,9467.56,1.04,True,8167.89,0.3,True,-13303.42,11.82,True,8913.63,1.08,True,3972.99,4.98,True,5110.11,0.3,True
77,57,134,La,17637.63,41.46,True,12643.91,19.96,True,-743.82,21.61,True,-6690.66,28.46,True,-4436.69,19.93,True,-10871.75,25.78,True,7795.58,34.32,True,4954.01,19.95,True,-18479.9,61.09,True,13927.17,19.96,True,6329.14,20.09,True,8486.54,20.54,True
76,58,134,Ce,18504.63,28.87,True,10975.81,20.41,True,3.74,20.55,True,-9186.46,23.56,True,-4568.25,20.41,True,-14966.63,23.91,True,10485.99,26.14,True,6627.48,34.59,True,-23457.0,197.0,False,9601.57,41.68,True,3800.42,34.59,True,7497.24,20.55,True
75,59,134,Pr,19443.17,35.31,True,9382.28,41.65,True,674.46,32.95,True,-11789.24,61.22,True,-322.58,34.55,True,-14266.94,50.81,True,8661.73,23.85,True,3398.75,26.08,True,-28600.0,299.0,False,14653.71,28.82,True,6044.5,38.58,True,10887.67,34.55,True
74,60,134,Nd,20363.26,26.94,True,7753.48,23.61,True,1351.56,30.34,True,-14270.0,196.0,False,-517.19,20.18,True,-18310.1,51.67,True,11385.38,48.05,True,4997.82,17.2,True,-34344.0,401.0,False,10291.83,31.2,True,3518.28,48.46,True,9708.41,34.87,True
